servers,objsize,threads,writes,timems,mbps
3,1024,10,53058,10019.3,5.42267344026
5,1024,100,147429,10018.1,15.0694538885
4,1024,1,10163,10030.6,1.03751639982
4,1024,100,168057,10018.2,17.1777732527
2,1024,1,9944,10019.4,1.01629398966
2,1024,10,48153,10021.9,4.92009219809
2,1024,100,210189,10017.9,21.4848956368
1,1024,100,290532,10016.5,29.7014693755
3,1024,100,196448,10017.8,20.0805318533
3,1024,1,10632,10021.7,1.0863594001
5,1024,10,48399,10019.6,4.94636272905
4,1024,10,47689,10022.6,4.87234210684
1,1024,10,83207,10016.9,8.50602162346
1,1024,1,14431,10031.4,1.47310883825
5,1024,1,10279,10031.3,1.0492853369
3,1024,10,50885,10019.4,5.20053496217
5,1024,100,143733,10019.2,14.6900542958
4,1024,1,10143,10029.5,1.03558821477
4,1024,100,168843,10018.5,17.2575966462
2,1024,1,10146,10030.9,1.03574993271
2,1024,10,47777,10021.4,4.88191749656
2,1024,100,209636,10018.3,21.4275140493
1,1024,100,305103,10016.7,31.1904591332
3,1024,100,196334,10018.2,20.0680776986
3,1024,1,10636,10030.3,1.08583631596
5,1024,10,48378,10020.3,4.94387114158
4,1024,10,47492,10020.8,4.85308638033
1,1024,10,83753,10017.1,8.56166674986
1,1024,1,14149,10018.7,1.44615329334
5,1024,1,9799,10027.9,1.00062585387
3,1024,10,51262,10016.5,5.24058183996
5,1024,100,146982,10020.7,15.019865678
4,1024,1,10249,10029.5,1.04641068847
4,1024,100,166670,10016.2,17.0394041653
2,1024,1,10423,10030.9,1.06402735547
2,1024,10,47987,10021.4,4.90337557627
2,1024,100,209522,10016.4,21.4199241244
1,1024,100,293969,10016.6,30.0525383863
3,1024,100,196588,10016.4,20.0976510523
3,1024,1,10770,10029.7,1.09958224074
5,1024,10,48243,10019.8,4.9303211641
4,1024,10,47567,10022.4,4.85997445722
1,1024,10,83323,10018.1,8.51685968397
1,1024,1,14913,10018.4,1.52428651282
5,1024,1,10289,10030.5,1.05038991077
3,1024,10,51514,10020.6,5.2641893699
5,1024,100,147152,10018.7,15.040239552
4,1024,1,10140,10030.4,1.03518902536
4,1024,100,166936,10017.8,17.0638727066
2,1024,1,10254,10030.3,1.04683768182
2,1024,10,48461,10019.9,4.95255082386
2,1024,100,211849,10017.1,21.6563053179
1,1024,100,292480,10015.7,29.9030042833
3,1024,100,198109,10018.6,20.2486990198
3,1024,1,10732,10029.9,1.09568071466
5,1024,10,48405,10019.9,4.94682781265
4,1024,10,47773,10019.9,4.88223954331
1,1024,10,83507,10018.6,8.53524125127
1,1024,1,15380,10016.7,1.57228628191
5,1024,1,10278,10029.3,1.04939248003
3,1024,10,51694,10019.7,5.28305797579
5,1024,100,147829,10015.4,15.1144134034
4,1024,1,10081,10031.1,1.02909391792
4,1024,100,167179,10017.6,17.089052867
2,1024,1,10680,10030.2,1.09033917569
2,1024,10,48285,10020.7,4.93417026755
2,1024,100,210566,10016.5,21.5264397744
1,1024,100,293533,10016.3,30.0088647505
3,1024,100,195940,10018.2,20.0278053942
3,1024,1,10521,10029.8,1.07414943468
5,1024,10,48123,10019.6,4.91815561499
4,1024,10,47061,10021.1,4.8088996218
1,1024,10,83530,10017.4,8.53861481023
1,1024,1,16178,10031.3,1.65145813603
5,1024,1,10304,10030.8,1.05188977948
